,,,,,,,,,,,,,Reunion y Colaboracion,,,,,,,Entretenimiento y Cultura,,,,,,,Hogar y espacios personales,,,,,Espacios Comerciales,,,,Hosteleria,,Museos y Parques,,Educacion,,,,,,Oracion y Culto,,,,,Espacios Deportivos,,,Espacios de atencion a la salud,,,Espacios Corporativos,,,,Transporte,,,,Gubernamental,,,
ID,Tipo,Producto,Foto,Marca,Modelo,Descripcion,Cuando_Usar,EVAC,Requiere_Accesorio_o_equipo_Adic,Power_Supply_Adicional,Tapa_Adicional,Caja_Adicional,Escritorio_o_Home_Office,Huddle_Room,Sala_de_Juntas,Auditorio,Salones_Multiples,Congresos__Consejos,Centros_de_Convenciones,Restaurante,RestoBar,Bar__Lounge,Bar_con_Musica_en_Vivo,Discoteca,Teatro,Concierto_Aire_libre,Fiesta_Portatil,Sala_de_Escucha_en_su_casa,Home_Theater,Apartamento_Completo,Casa_Completa,Tienda_o_Boutique,Market,Mall,Centro_Comercial,Hoteles,Resort,Museo,Parques_Tematicos,Educacion_a_Distancia,Salon_de_Clases,Escuela,Colegio,Campus_Universitario,Biblioteca,Capilla,Iglesia,Basilica,Casa_de_Oracion,Centro_de_Oracion,Gimnasio,Coliseo,Estadio,Consultorio,Edificio_Mediano_o_Clinica,Gran_Edificio_u_Hospital,Bodegas,Fabricas,Complex_Oficinas,Gran_Edificio_Oficinas,Aeropuerto_regional,Aeropuerto_nacional,Aeropuerto_internacional,Metro,Edificios_Administrativos,Infraestructura_Tuneles__Puertos,Evacuacion_Ciudades,POR_Definir
374000,Audio,09. Altavoz,/374000_Hx-7WP-.png,TOA,Hx-7WP,Lineal intemperie 4 modulos 750w alta eficiencia,"Si requiere tener los beneficios de la tecnologia LineArray en un altavoz de formato pequeño, esteticamente agradable para la intemperie, con mucho mayor potencia y alcance de lo que puede lograr con un Hx5 pero con un precio no comparable por su efectividad con otros lineales, este es el equipo ideal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
375000,Audio,09. Altavoz,/375000_FB-120B-.png,TOA,FB-120B,"Subwoofer 12"" 600w","Desea aumentar el rango de frecuencais de su sistema lineal Hx5 y colcoar el sub en el mismo array, esta es la solucion mas practica",,,,,,,,,1,1,1,1,,,1,1,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,1,1,1,1,1,,,,,,,,,1,1,,,,,
376000,Audio,09. Altavoz,/376000_Diamond-10GX Sub-.png,WharfedaleHiFi,Diamond-10GX Sub,"Subwoofer autopotenciado 10"" 250w para sistemas de alta resolucion","Si esta buscando un subwoofer con la calidad audifila y tonalidad de sonido ingles que tantos seguidores tiene en muy alta calidad pero a un precio razonable, este el bajo que debe adquirir ya sea para completar los sistemas Diamond y darle una mayor profunidad a la reproduccion o para cualqueir otro sistema que desee mejorarle su desempeño en las frecuencais graves",,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377000,Audio,09. Altavoz,/377000_Diamond-220C-.png,WharfedaleHiFi,Diamond-220C,"Altavoz Central HiFi de alta resolucion 2 vias 5"" x2","Cuando este usando un sistmea Diamod de parlantes ya sean Bookshelf o tipo Columna y requeire tener un altavoz dedicado al canal central del cine para reproducir los dialogos de los artistas de manera ideal, este altavoz diseñado especialmente para esto es la alternativa ideal",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378000,Audio,09. Altavoz,/378000_Diamond-225-.png,WharfedaleHiFi,Diamond-225,"Altavoz Bookshelf HiFi de alta resolucion 2 vias 6,5""","Cuando este buscando los altavoces de calidad audiofila mas premiados a un precio que no le rompera el presupuesto pero no tiene el espacio para colocar columnas en el piso, o lo piensa colocar en la parte trasera de su estudio, este altavoz para estanteria o mesa va a dejar un cliente totalmente satisfecho al saber lo bien invertido que dejo su dinero y la satisfaccion en la claridad, nitides, imagen, tridimensionalidad, detalle, autoridad y profundidad que estos altavoces le entregan con el tipico sonido Ingles que tanto segidores tiene en el mundo",,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379000,Audio,09. Altavoz,/379000_Diamond-250-.png,WharfedaleHiFi,Diamond-250,"Altavoz Columna HiFi de alta resolucion 3 vias 8"" x2 + 5""","Cuando este buscando los altavoces de calidad audiofila mas premiados a un precio que no le rompera el presupuesto y tiene espacio para la colocacion de estas columnas en el piso, va a dejar un clietne totalmente satisfecho al saber lo bien invertido que dejo su dinero y la satisfaccion en la claridad, nitides, imagen, tridimensionalidad, detalle, autoridad y profundidad que estos altavoces le entregan con el tipico sonido Ingles que tanto segidores tiene en el mundo",,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380000,Audio,09. Altavoz,/380000_DX-1SE-.png,WharfedaleHiFi,DX-1SE,"Sistema HomeTheater de alta resolucion, 5 satelites 2 vias 3"" + Central + Subwoofer 8""","Si loq ue desea es un sistema de tamaño muy pequeño para instalar en las paredes de su cuarto de teatro pero que mantengan una buena calidad, con el tipico timbre del sonido Ingles capaz de competir con sistemas similares que pueden costar hasta 2 veces su precio, este es el sistema ideal",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381000,Audio,09. Altavoz,/381000_SW-150-.png,WharfedaleHiFi,SW-150,"Subwoofer autopotenciado 10"" 150w multiproposito",Requiere aumentar la respuesta en las frecuencias bajas para un mayor impacto?  Este subwoofer le permitira generar un sonido mas amplio a un precio muy competitivo.,,,,,,,,1,,,,,,1,1,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
382000,Audio,09. Altavoz,/382000_Vista-150-.png,WharfedaleHiFi,Vista-150,"Sistema Altavoz Barra Central de alta resolucion con Subwoofer autopotenciado 6,5"" bluetooth","Si su sala de teatro es muy pequeña, o es muy complicado cablear para colocar un sistema tradicional de 5 canales pero desea acercarse lo mas posible a la experiencia de un verdadero teatro casero con el timbre carateristico de los sistemas ingleses y pueda conectarse facilmente a la musica que tenga en su smartphone, este sistmea de altavoz que se coloca debajo del TV y su respectivo subwoffer le permitira satisfacer esta necesidad basica con alta calidad",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383000,Audio,10. Audifonos,/383000_LBB3443-10-.png,Bosch,LBB3443/10,Audifonos con cable de alta resistencia para receptor de bolsillo,En el caso de estar usando un sistema de traduccion simultanea y necesita que a cada persona le llegue la señal clara del interprete en un audifono resistente especialmente diseñado para este tipo de funciones,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384000,Audio,10. Audifonos,/384000_LBB9095-30-.png,Bosch,LBB9095/30,Audifonos para inteprete,En el caso de estar usando un sistema de traduccion simultanea y necesita que el interprete tenga un audifono especialmente diseñado para este tipo de funciones de manera que pueda hacer mejor su trabajo de traduccion,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389000,Audio,11. Monitor,/389000_RM-MP12A-.png,RDL,RM-MP12A,Monitor de 12 lineas de altavoces o señales,"Si necesita desde su cuarto de control monitorear visualmetne atravez de barra de leds o acusticamente a travez de un altavoz, este es el equipo que instalandose en un rack le permitira saber que se esta anunciando las zonas y puntoss remotos de su proyecto, en este caso hasta 12 zonas",1,,PS-24AS,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,1,,,,1,,,,,1,,,
390000,Audio,11. Monitor,/390000_MP-1216-.png,TOA,MP-1216,Monitor audio y led 16in,"Si necesita desde su cuarto de control monitorear visualmetne atravez de barra de leds o acusticamente a travez de un altavoz, este es el equipo que instalandose en un rack le permitira saber que se esta anunciando las zonas y puntoss remotos de su proyecto, en este caso para cuando necesite mas de 12 zonas",1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,1,,1,,,1,,,,1,,,
391000,Audio,12. Conferencias,/391000_CCS-1000CURD-.png,Bosch,CCS-1000CURD,Unidad de control central con grabacion y destruccion de feedback serie CCS1000,"En casos donde requieran de un sistema de ""pido-la-palabra"" con prioridades y manejo decisorio por parte del presidente de la reunion, y que adicionalmente pueda funcionar como un sistema independiente ya que el incluye su propio altavoz y microfono en un mismo cuerpo dandole la maxima flexibilidad y agilidad, esta unidad central que se puede conectar a otros sistemas de audio y de video/teleconferencia es la solucion.",,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392000,Audio,12. Conferencias,/392000_DCNM-APS2-.png,Bosch,DCNM-APS2,Hub para alimentacion electrica y de audio para estaciones dicentis multimedia,Cuando este usando un sistema multimedia de discusion Dicentis de Bosch y requiere alimetnacion electrica y expansión de conexiones de audio externo debe usar este conrolador central,,DCNM-MMD,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393000,Audio,12. Conferencias,/393000_DCNM-WAP-.png,Bosch,DCNM-WAP,Access point y controlador central para sistema de discusion serie Dicentis inalambrico,"Cuando este usando un sistema inalambrico de discusion Dicentis de Bosch va a necesitar de este acess point que no solo tranmsite y recibe las señales de las unidades de los delegados y presidente, sino que tambien hace las veces de controlador central haciendo asi un sistema de muy facil instalacion y manejo",,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394000,Audio,12. Conferencias,/394000_DCNM-WCH05-.png,Bosch,DCNM-WCH05,Gabinete cargador para 5 baterias de unidades de discusion,Cuando este usando un sistema inalambrico de discusion Dicentis de Bosch va a necesitar de estos cargadores de bateria donde podra almacenar 5 unidades de delegados y a su vez irlas cargando para una proxima reunion,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395000,Audio,12. Conferencias,/395000_DCNM-WLIION-.png,Bosch,DCNM-WLIION,Bateria para unidad de discusion,Cuando este usando un sistema inalambrico de discusion Dicentis de Bosch va a necesitar de estas baterias que son de alta duracion y seguras para los usuarios,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396000,Audio,13. Traduccion,/396000_DCN-CCU2-.png,Bosch,DCN-CCU2,Unidad de control central para sistema de interpretacion Digital,Cuando este usando un sistema de interpretacion simultanea Integrus de Bosch va a requerir esta unidad de control para poder conectar el pupitre digital de interpretacion con el sistema de transmision,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397000,Audio,13. Traduccion,/397000_INT-TXxx-.png,Bosch,INT-TXxx,Transmisores varios de 4 a 32 canales para sistemas de traduccion simultanea en IR Integrus,Cuando este usando un sistema de interpretacion simultanea Integrus de Bosch va a requerir este transmisor ya sea en version de 4 o 32 idiomas para que la señal se transmita a travez de IR hasta los escuchas,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398000,Audio,13. Traduccion,/398000_LBB4511-00-.png,Bosch,LBB4511/00,Radiador para sistema Integrus,Cuando este usando un sistema de interpretacion simultanea Integrus de Bosch va a requerir este Radiador de IR que le permite que esta señal sea amplificada y pueda inclusive llegar a personas que tienen su receptor escondido en el bolsillo,,,,LBB3441/00,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399000,Audio,13. Traduccion,/399000_LBB4540-xx-.png,Bosch,LBB4540/xx,Receptor de bolsillo Integrus en IR de 4 a 32 canales,"Si usted requiere de un sistema de interpretacion y traduccion simultanea en IR que sea el estandard mundial para eventos de gran magnitud pro su seguridad, confiabilidad y privacidad, esta es la solucion ya que a cada asistente se le da un receptor en donde el mismo escoge entre 4 a 32 idiomas y lo conecta a unos audifonos para tener un sonido claro aun no entienda el idioma nativo del conferencista",,Audifonos y Baterias,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000,Audio,13. Traduccion,/400000_LBB4550-10-.png,Bosch,LBB4550/10,Paquete de 10 baterias recargables para receptor de bolsillo,Cuando este usando un sistema de interperetacion simultanea Integrus de Bosch va a necesitar de estas baterias que son de alta duracion y seguras para los usuarios,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401000,Audio,13. Traduccion,/401000_LBB4560-00-.png,Bosch,LBB4560/00,"Gabinete para carga de receptores de bolsillo integrus, 56 al mismo tiempo",Cuando este usando un sistema de interpretacion simultanea Integrus de Bosch va a necesitar de este cargador de baterias donde podra almacenar 56 receptores de bolsillo y a su vez irlos cargando para una proxima reunion,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402000,Audio,14. Intercom,/402000_N-8000MS-.png,TOA,N-8000MS,Estacion Maestra 2-wire,"Si requiere desde su escritorio poder enviar mensajes, y comunicarse con sub-estaciones instaladas en puntos remotos, otras estaciones maestras, telefonia y sistemas de audio distribuido o de evacuacion de manera que tenga la comunicación mas agil y flexible que un proyecto pueda tener, este es el equipo que necesitas.  Esta version usa la comunicacion de 2-cables que brinda economia y seguridad.",1,,AD-1215P,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,1,,,
403000,Audio,14. Intercom,/403000_N-8011MS-.png,TOA,N-8011MS,Estacion Maestra sin auricular 2-wire,"Cuando no necesiten auricular en una estacion maestra y asi desde su escritorio poder enviar mensajes, y comunicarse con sub-estaciones instaladas en puntos remotos, otras estaciones maestras, telefonia y sistemas de audio distribuido o de evacuacion de manera que tenga la comunicación mas agil y flexible que un proyecto pueda tener, este es el equipo que necesitas.  Esta version usa la comunicacion de 2-cables que brinda economia y seguridad.",1,,AD-1215P,,YC-290          YC-280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,
404000,Audio,14. Intercom,/404000_N-8033MS-.png,TOA,N-8033MS,Estacion Maestra empotrable con control pedal 2-wire quirofano,"Cuando desde el quirofano o lugares que requieran manos libres y activacion por pedal y  comunicarse con sub-estaciones instaladas en puntos remotos, otras estaciones maestras, telefonia y sistemas de audio distribuido o de evacuacion de manera que tenga la comunicación mas agil y flexible que un proyecto pueda tener, este es el equipo que necesitas.  Esta version usa la comunicacion de 2-cables.",1,,,,YC-841          YC-841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
405000,Audio,14. Intercom,/405000_N-8050DS-.png,TOA,N-8050DS,Subestacion Puerta 2-wire,"Si desde un sitio remoto sea un area abierta o inclusive una puerta o sitio a la intemperie requiere comunicarse con un punto central para pasar informes y mensaje y a su vez que desde ese sitio remoto le puedan anunciar algo o monitorear lo que esta sucediendo acusticamente alli, va a necesitar de una subestacion de intercom profesional, y esta version que usa 2-cables le brinda aguante, economia y seguridad.",1,,,,YC-150          YS-13A,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,
406000,Audio,14. Intercom,/406000_N-8065MS Q-TEE-.png,TOA,N-8065MS Q-TEE,Estacion Maestra Industrial 2-wire,"Cuando en un ambiente industrial de contaminacion alta donde necesiten alta resitencia y botones grandes para comunicarse con sub-estaciones instaladas en puntos remotos, otras estaciones maestras, telefonia y sistemas de audio distribuido o de evacuacion de manera que tenga la comunicación mas agil y flexible que un proyecto pueda tener, este es el equipo que necesitas.  Esta version usa la comunicacion de 2-cables.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
407000,Audio,14. Intercom,/407000_N-8510MS-.png,TOA,N-8510MS,Estacion Maestra IP sin pantalla,"Cuando no necesiten pantalla en una estacion maestra que se conecte directamente a la red TCP/IP y asi desde su escritorio poder enviar mensajes, y comunicarse con sub-estaciones instaladas en puntos remotos, otras estaciones maestras, telefonia y sistemas de audio distribuido o de evacuacion de manera que tenga la comunicación mas agil y flexible que un proyecto pueda tener, este es el equipo que necesitas.",1,,AD-1215P,,YC-280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,1,,,,
408000,Audio,14. Intercom,/408000_N-8600MS-.png,TOA,N-8600MS,Estacion Maestra IP,"Cuando desde su escritorio necesite un equipo conetado directamente a la red TCP/IP y le permita enviar mensajes, y comunicarse con sub-estaciones instaladas en puntos remotos, otras estaciones maestras, telefonia y sistemas de audio distribuido o de evacuacion de manera que tenga la comunicación mas agil y flexible que un proyecto pueda tener, este es el equipo que necesitas.",1,,AD-1215P,,YC-280,,,,,1,,1,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,
409000,Audio,14. Intercom,/409000_N-8650DS-.png,TOA,N-8650DS,Subestacion IP,"Si desde un sitio remoto requiere que personas que pasen por alli se puedan comunicar con un punto central directamente usando la red TCP/IP para pasar informes y mensaje y a su vez que desde ese sitio remoto le puedan anunciar algo o monitorear lo que esta sucediendo acusticamente alli, va a necesitar de una subestacion de intercom profesional que aguante el uso.",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
410000,Audio,14. Intercom,/410000_RS-140-.png,TOA,RS-140,Subestacion clases para altavoz externo 2-wire,"Si desde un salon de clases u otro lugar encerrado requiere comunicarse con un punto central para pasar informes y mensaje y a su vez que desde ese sitio remoto le puedan anunciar algo o monitorear lo que esta sucediendo acusticamente alli, va a necesitar de una subestacion de intercom profesional.  Esta version que viene diseñada para colocar un altavoz ya sea de techo o de muro externo para ampliar su cobertura usa la conexion por 2-cables",1,Altavoz de alta eficiencia,,,YC-801          YC-802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
411000,Audio,14. Intercom,/411000_RS-160-.png,TOA,RS-160,Subestacion clases 2-wire,"Si desde un salon de clases u otro lugar encerrado requiere comunicarse con un punto central para pasar informes y mensaje y a su vez que desde ese sitio remoto le puedan anunciar algo o monitorear lo que esta sucediendo acusticamente alli, va a necesitar de una subestacion de intercom profesional, y esta version que usa 2-cables le brinda economia y seguridad.",1,,,,YC-302,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
412000,Audio,14. Intercom,/412000_N-8640DS-.png,TOA,N-8640DS,Subestacion puerta / cajero IP,"Si desde un sitio remoto sea un area abierta o inclusive una puerta, cajero electronico o sitio a la intemperie requiere comunicarse con un punto central directamente usando la red TCP/IP para pasar informes y mensaje y a su vez que desde ese sitio remoto le puedan anunciar algo o monitorear lo que esta sucediendo acusticamente alli, va a necesitar de una subestacion de intercom profesional que aguante el uso.",,,AD-1215P,,YC-150          YS-13A,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,1,1,
413000,Audio,14. Intercom,/413000_RS-170-.png,TOA,RS-170,Subestacion Intemperie 2-wire Antibandalica,"Si desde un sitio remoto sea un area abierta o inclusive una puerta o sitio a la intemperie requiere comunicarse con un punto central para pasar informes y mensaje y a su vez que desde ese sitio remoto le puedan anunciar algo o monitorear lo que esta sucediendo acusticamente alli, va a necesitar de una subestacion de intercom profesional, y esta version que usa 2-cables y tiene fortaleza antibandalica le brinda mayor aguante y seguridad.",1,,,,YC-823          YC-822,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
414000,Audio,14. Intercom,/414000_RS-480V-.png,TOA,RS-480V,Subestacion Video 4-wire,"Si desde un sitio remoto sea un area abierta o inclusive una puerta o sitio a la intemperie requiere comunicarse con audio y video a un punto central  y a su vez que desde ese sitio remoto le puedan anunciar algo o monitorear lo que esta sucediendo visual y acusticamente, va a necesitar de una subestacion de intercom profesional, y esta version que usa 4-cables le brinda aguante y seguridad.",1,IF-480V,,,YC-302          YC-822      YC-823,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
415000,Audio,14. Intercom,/415000_IF-480V-.png,TOA,IF-480V,Interfaz a video,En los casos que este usando la subestacion de audio y video RS-480V va a necesitar esta interfase para poderla interconectar a su sistema de intercom profesional TOA,1,RS-480V,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
416000,Audio,14. Intercom,/416000_N-8000AF-.png,TOA,N-8000AF,Unidad interfase de audio con 1 entrada microfono/linea y 1 salidas en linea mas 8 contactos para zonas,"Cuando requiera que el audio de su sistema de intercom sea interconectaro a su sistema de perifono, llamados y emergencias debera utilizar este decodificador y asi lograr que desde un sistema de intercom se hagan anuncios ya no solo a subestaciones y estaciones maestras sino tambien a areas abiertas atravez de altavoces de potencia",1,,,,YC-850,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,1,,1,,,,,,1,1,,,
417000,Audio,14. Intercom,/417000_N-8000DI-.png,TOA,N-8000DI,Unidad de 32 contactos secos input/output,"Si necesita que su sistema de intercom cierre unos contactos para asi crear tableros de iluminacion de actividades o acciones hacia motores u otros equipos que interactuen con contact closure, ademas de permitir que equipos externos tambien le den comandos al sistema de intercom cerrando sus contactos",1,,,,YC-850,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,
418000,Audio,14. Intercom,/418000_N-8000EX-.png,TOA,N-8000EX,Exchange IP + 2 wire + Paging,Cuando necesite tomar de la red TCP/IP la señal de intercom y convertirla al formato de conexión local de 2-cables y asi poder conectar todas las subestaciones y estaciones maestras con este tipo de conexión sin problema y ampliar la capacidad del sistema.  Dispondra tambien de 2 canales de salida de audio para enrutar señales a un sistema de amplificacion externo,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,
419000,Audio,14. Intercom,/419000_N-8000MI-.png,TOA,N-8000MI,Unidad salidas y entradas audio mas contactos secos,Cuando necesite tomar de la red TCP/IP la señal de intercom y convertirla a 2 canales de salida de audio para enrutar señales a un sistema de amplificacion externo y 2 canales de entrada de audio para ingresar alguna fuente de sonido pregrabada al sistma de intercom.  Ademas dispondra de contactos de entradas y salida para integrar el sistema de intercom a otros sistemas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,,,
420000,Audio,14. Intercom,/420000_N-8000CO-.png,TOA,N-8000CO,Interfaz para Telefonia Analoga,"Cuando requiera que su sistema telefonico (planta PABX) se integre al sistema de intercom, debera utilizar este decodificador y asi lograr que desde cualqueir telefono pueda hacer comunicaciones a estaciones maestras, subestaciones y hasta un sistmea de perifoneo si asi lo tiene configurado",1,,,,YC-850,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,1,,,
421000,Audio,14. Intercom,/421000_N-8000RS-.png,TOA,N-8000RS,Interfaz a subestaciones 2-wire,Cuando necesite tomar de la red TCP/IP la señal de intercom para conectarla a subestaciones remotas que usen 2-cables,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
422000,Audio,14. Intercom,/422000_N-8400RS-.png,TOA,N-8400RS,Interfase a subestaciones 4-wire,Cuando necesite tomar de la red TCP/IP la señal de intercom para conectarla a subestaciones remotas que usen 4-cables,1,,,,YC-850,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,
423000,Audio,15. Transporte Audio,/423000_D-TPSL1A-.png,RDL,D-TPSL1A,"Transmisor de 3,5mm y  RCA Linea a Cable Cat5e (FormatA) hasta 600mts  (Caja 4x2)","Si necesita puntos de conexión remotas para dos señales de linea, pero la transmision por el metodo tradicional de cable balanceado le puede traer problemas de ruidos y perdidas, es mejor usar esta solucion que no solo le permite mayor distancia sino que tambien le reduce el numero de cables necesarios y adicionalmente le entrega los puntos de conexion ya armados y decorativos para instalar en una caja 4x2",,Cualquier Receptor Format A,PS-24AS,CP-1,caja 4x2 standard,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
424000,Audio,15. Transporte Audio,/424000_D-TPSL2A-.png,RDL,D-TPSL2A,Transmisor de XLR Mic y RCA Linea a Cable Cat5e (FormatA) hasta 600mts + Phantom  (Caja 4x2),"Si necesita puntos de conexión remotas para su microfono y señal de audio, pero la transmision por el metodo tradicional de cable balanceado le puede traer problemas de ruidos y perdidas, es mejor usar esta solucion que no solo le permite mayor distancia sino que tambien le reduce el numero de cables necesarios y adicionalmente le entrega los puntos de conexion ya armados y decorativos para instalar en una caja 4x2",,Cualquier Receptor Format A,PS-24AS,CP-1,caja 4x2 standard,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
425000,Audio,15. Transporte Audio,/425000_D-TPSM2A-.png,RDL,D-TPSM2A,Transmisor de 2 XLR Mic a Cable Cat5e (FormatA) hasta 600mts + Phantom (Caja 4x2),"Si necesita puntos de conexión remotas para dos microfono, pero la transmision por el metodo tradicional de cable balanceado le puede traer problemas de ruidos y perdidas, es mejor usar esta solucion que no solo le permite mayor distancia sino que tambien le reduce el numero de cables necesarios y adicionalmente le entrega los puntos de conexion ya armados y decorativos para instalar en una caja 4x2",,Cualquier Receptor Format A,PS-24AS,CP-1,caja 4x2 standard,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
426000,Audio,15. Transporte Audio,/426000_D-BT1A-.png,RDL,D-BT1A,Transmisor de Bluetooth a Cable Cat5e (FormatA) hasta 600mts (Caja 4x2),"Si necesita puntos de conexión remotas para bluetooth, pero las distancias hasta donde esta el receptor son muy largas, es mejor usar esta solucion que no solo le permite mayor distancia.",,Cualquier Receptor Format A,PS-24AS,CP-1,caja 4x2 standard,,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
